OriginAirportID,DestAirportID,Airline,OriginCityName,Distance,AirTime,Month
10140,10397,3,150,1269,152.0,6
10721,14843,15,71,1674,208.0,6
10397,12451,3,12,270,42.0,5
11193,11618,17,122,569,80.0,3
13198,11278,2,79,949,111.0,4
11057,13485,6,35,708,99.0,3
14193,11057,6,118,488,81.0,4
12451,13303,14,43,335,52.0,1
14747,14057,12,6,129,31.0,5
13198,13930,1,79,403,65.0,3
13244,11278,11,62,762,99.0,6
10423,13930,14,16,977,131.0,1
13303,11298,5,24,1121,151.0,7
14831,13891,2,7,333,48.0,4
11057,12339,6,35,427,70.0,2
14679,14831,0,5,417,65.0,5
10713,12892,0,100,674,92.0,1
10821,13204,2,59,787,115.0,4
11278,14193,6,10,816,109.0,7
12191,13232,2,61,937,122.0,6
14843,13204,16,28,1189,146.0,7
13422,10397,9,82,302,55.0,2
10721,11618,11,71,200,44.0,3
13198,14082,17,79,1125,132.0,2
13577,11057,6,116,157,36.0,3
12892,10721,1,2,2611,294.0,5
11603,14747,12,143,234,51.0,2
11884,12892,12,147,945,124.0,1
11057,10257,1,35,646,85.0,1
12266,13930,7,61,925,119.0,2
13244,11298,1,62,431,67.0,5
13204,11057,1,60,468,72.0,1
15376,11292,2,64,639,87.0,1
14524,12478,9,78,288,45.0,4
11298,14122,1,25,1067,131.0,1
11298,11109,0,25,592,104.0,1
10397,13487,3,12,907,120.0,6
11057,13198,1,35,808,114.0,7
11433,13871,0,4,651,88.0,5
11057,12889,1,35,1916,263.0,4
11278,14027,15,10,857,119.0,7
10713,13796,2,100,512,79.0,1
10821,13577,2,59,399,63.0,1
12173,12758,4,81,163,30.0,7
10397,13204,3,12,404,58.0,7
14520,13487,0,332,190,41.0,6
13487,14730,0,31,604,76.0,3
13830,14831,4,73,2355,288.0,3
11292,14107,2,22,602,91.0,5
14100,11697,5,74,992,143.0,4
10423,10397,3,16,813,105.0,6
12266,10821,7,61,1235,152.0,4
11618,11298,16,26,1372,228.0,1
10299,10245,12,161,288,51.0,3
14771,14489,0,27,462,68.0,3
14869,14107,3,14,507,77.0,3
14679,13796,2,5,446,61.0,7
11278,13930,0,10,612,95.0,6
14107,14893,2,8,647,102.0,4
14027,10397,3,86,545,84.0,6
13930,12953,7,11,733,98.0,2
11433,10257,9,4,489,62.0,3
12478,11433,9,17,509,88.0,4
11697,12544,17,37,643,,1
10423,12892,3,16,1242,161.0,6
13487,13930,7,31,334,57.0,6
13204,14307,2,60,1072,144.0,7
13931,11057,1,101,290,,2
11057,14122,1,35,366,58.0,7
15304,10821,2,50,842,,5
11298,12478,15,25,1391,216.0,5
11278,13303,1,10,919,131.0,7
15356,11697,16,155,1026,161.0,3
11298,10980,14,25,695,94.0,5
13931,12478,11,101,290,48.0,1
14831,13891,2,7,333,50.0,4
12173,13830,4,81,100,22.0,5
10423,12889,5,16,1090,148.0,2
10423,12191,2,16,148,36.0,5
12889,12892,3,3,236,45.0,7
10469,13930,14,190,122,37.0,4
10529,13487,3,40,1050,134.0,5
12448,12191,2,119,359,60.0,1
14100,14576,18,74,257,53.0,4
13930,11577,20,11,398,55.0,6
13796,10800,2,42,325,49.0,5
14057,14747,3,15,129,32.0,1
10299,10926,8,161,160,33.0,5
12264,12478,11,10,228,48.0,5
13264,14869,0,127,575,87.0,1
13277,11057,18,108,372,64.0,5
13303,10693,2,24,806,120.0,3
14771,11057,1,27,2296,275.0,7
14107,12954,2,8,355,61.0,5
11637,11298,0,65,968,131.0,6
11618,14027,7,26,1023,149.0,3
13796,14747,2,42,672,102.0,2
14679,14771,2,5,447,60.0,6
13830,14893,4,73,2404,268.0,2
10721,11057,1,71,728,108.0,6
11292,13502,7,22,196,36.0,2
11057,12451,6,35,328,55.0,3
14057,11618,7,15,2434,261.0,6
14574,10397,9,125,357,51.0,6
10397,11150,9,12,83,27.0,4
11298,14730,10,25,733,100.0,7
13232,12191,2,11,937,122.0,7
11292,11638,0,22,844,128.0,2
14635,13296,5,67,1271,166.0,3
10397,10990,9,12,457,78.0,7
10721,13204,3,71,1121,151.0,7
14122,11433,0,33,201,39.0,4
10821,10397,2,59,577,78.0,5
13871,11298,1,48,583,99.0,2
12264,12266,7,10,1190,158.0,4
13342,10721,9,91,860,97.0,1
14100,11278,6,74,119,27.0,5
10423,11618,5,16,1504,210.0,6
15016,13487,2,69,448,69.0,6
14100,15304,1,74,920,131.0,6
12951,12266,10,76,201,50.0,4
14100,13930,7,74,678,100.0,7
